,,,,,
,,,,,
,,№,Вопрос,Да/нет,Комментарий 
,,I. Управление доступом,,,
,,1,Используется ли многофакторная аутентификация (MFA) для доступа к критическим системам и сервисам?,Да,
,,2,Настроены ли требования к сложности паролей и их регулярное обновление?,Нет,
,,3,Проводится ли аудит и пересмотр учётных записей с повышенными привилегиями на регулярной основе?,Нет,
,,4,Реализован ли принцип минимальных привилегий при назначении ролей и прав доступа?,??,
,,5,Автоматически ли удаляются или деактивируются учётные записи после увольнения или изменения должности сотрудников?,Нет,
,,6,Ведётся ли журналирование всех операций доступа к системам и данным? Кто имеет доступ к журналам?,Нет,
,,7,Используются ли механизмы контроля доступа на основе атрибутов для повышения гибкости управления доступом?,Нет,
,,8,Используются ли системы аутентификации пользователей для доступа к системам?,Да,
,,9,"Созданы ли замкнутые контуры для подсистем, работающих с чувствительными данными?",Нет,Контур систем единый
,,10,Ограничен ли доступ к системам из внешних источников?,Да,К системам поставщиков ЖКХ
,,11,Ведётся ли единый реестр учётных записей?,Нет,"Контексты систем Active Directory для финансистов и Active DIrectory для других пользователей разделены, данные этих сервисов не сводятся в единое хранилище"
,,12,Используются ли средства управления учётными записями на базе единого реестра?,Нет,"Контексты систем Active Directory для финансистов и Active DIrectory для других пользователей разделены, данные этих сервисов не сводятся в единое хранилище"
,,13,Применяются ли средства для отзыва прав доступа?,Нет,
,,14,Используются ли средства централизованного контроля доступа?,Да,"Доступ выдается сервисами регистрации, аутентификации и авторизации сервисами KeyCloak, Active Directory"
,,II. Безопасность данных,,,
,,1,"Разработана ли политика классификации данных, и актуализируется ли она в соответствии с действующим законодательством?",Нет,
,,2,"Используется ли шифрование на уровне базы данных, файловой системы и при передаче данных по сети?",Нет,
,,3,Реализованы ли механизмы управления ключами шифрования?,,
,,4,Проводится ли регулярное резервное копирование данных? Хранятся ли резервные копии в защищённых хранилищах?,Да,Для всех баз данных производится резервное копирование
,,5,Выполняется ли регулярное тестирование процесса восстановления данных из резервных копий?,Да,Для всех баз данных производится резервное копирование
,,6,"Ограничен ли доступ к резервным копиям данных, и зашифрованы ли они?",,
,,7,"Ведётся ли учёт персональных данных, и применяются ли специальные процедуры обработки и хранения для различных типов данных (общедоступные, конфиденциальные, критически важные)?",Нет,
,,8,"Осуществляется ли мониторинг доступа к данным на основе их классификации, и используются ли метки безопасности для маркировки данных?",Нет,
,,9,Разработаны ли процессы и системы Data Governance для управления данными?,Нет,"Во всяком случае не найдены артефакты, кот. могли бы сообщить, что в компании используется классификаци данных"
,,10,Реализованы ли системы или процессы безопасного уничтожения данных?,Нет,
,,11,Используются ли системы или процессы контроля целостности данных?,Нет,"Особенно есть проблема наличия нескольких точек регистрации клиентов, возможно различие атрибутивного состава"
,,12,Реализованы ли системы или процессы контроля сохранности данных?,Нет,
,,13,Применяются ли средства или процессы анонимизации данных?,Нет,Или не ясно
,,14,Разработана ли инструкция по процессу восстановления данных?,Да,"Предполагаю, что раз настроено резервное копирование, то значит и умеем поднимать базу данных из дампа"
,,III. Защита инфраструктуры,,,
,,1,Используется ли межсетевой экран для ограничения входящего и исходящего трафика?,Да,Только в части входящего трафика клиентов и собственников
,,2,"Реализована ли сегментация сети на логические зоны (DMZ, корпоративная сеть, гостевая сеть) для ограничения доступа к критическим ресурсам?",Нет,Все сервисы доступны в единой сети
,,3,Используются ли IDS/IPS-системы для обнаружения и предотвращения сетевых атак?,Нет,
,,4,"Настроен ли мониторинг сетевого трафика на предмет аномалий и возможных атак, например, DDoS?",Нет,
,,5,"Проводится ли регулярное сканирование уязвимостей операционных систем, приложений и сетевых устройств?",Нет,
,,6,Установлены ли на серверах и рабочих станциях антивирусные программы и системы EDR (Endpoint Detection and Response)?,Нет,
,,7,"Отключены ли неиспользуемые службы и порты на серверах, рабочих станциях и сетевом оборудовании?",Нет,
,,8,"Используются ли механизмы контроля целостности системных файлов, и ведётся ли журналирование доступа к системным ресурсам?",Нет,
,,9,Проводятся ли автоматизированные сканирования облачных инфраструктур на соответствие рекомендациям безопасности?,Нет,
,,10,Реализовано ли автоматическое обновление сигнатур защиты от вредоносных программ?,Нет,
,,11,Осуществляется ли фильтрация трафика между сетевыми сегментами?,Нет,
,,12,Используются ли средства для контроля периметра доступа?,Да,Определен корпоративный контур (для внутренних пользователей) и пользовательский контур (для клиентов и собственников)
,,IV.  Управление инцидентами,,,
,,1,Используется ли система мониторинга безопасности (SIEM) для корреляции событий и анализа аномалий в режиме реального времени?,Нет,
,,2,"Настроены ли автоматические оповещения об инцидентах и подозрительной активности (например, попытках несанкционированного доступа)?",Нет,
,,3,"Разработан ли план реагирования на инциденты, включающий анализ, эскалацию и восстановление системы? Проводится ли обучение сотрудников по его использованию?",Нет,
,,4,Проводятся ли симуляции инцидентов (учения) для проверки готовности сотрудников к реагированию на кибератаки?,Нет,
,,5,Ведется ли статистика по всем зарегистрированным инцидентам и используются ли результаты анализа для корректировки политики безопасности?,Нет,
,,6,"Как часто проводятся внутренние и внешние аудиты безопасности, и обновляются ли политики и процедуры на основе результатов этих аудитов?",Нет,
,,V. Специфические аспекты,,,
,,1. Общие вопросы,,,
,,1,Используется ли система управления мобильными устройствами (MDM) для контроля доступа к корпоративным данным и приложениям на мобильных устройствах?,,
,,2,Настроены ли VPN и шифрование для безопасного удалённого доступа к корпоративным ресурсам?,,
,,3,Проводится ли автоматическое выявление и ограничение использования незарегистрированных или неавторизованных устройств в корпоративной сети?,,
,,4,"Настроены ли политики автоматического резервного копирования в облачной среде, и контролируется ли доступ к этим копиям?",,
,,2. Управление оборудованием и физической безопасностью,,,
,,1,"Используются ли системы контроля доступа — биометрия, СКУД — в серверных помещениях?",,
,,2,Ведётся ли инвентаризация всего оборудования и контроль его состояния с использованием систем управления активами?,,
,,3,Используются ли безопасные методы удаления данных перед утилизацией оборудования или передачей его в другие подразделения?,,
