,№,Вопрос,Да/нет,Комментарий 
,I. Управление доступом,,,
,1,Используется ли многофакторная аутентификация (MFA) для доступа к критическим системам и сервисам?,Да,"По KeyCloak, использующийся для доступа к продуктам PropDevelopment, предоставляет функциональность MFA, требуется проверить политики аутентификации.
Для доступа к внутренним сервисам используется MS Active Directory и нет сведений о наличии MFA, требуется проверить."
,2,Настроены ли требования к сложности паролей и их регулярное обновление?,Нет,"Нет данных, а при условии, что внутренние пользователи авторизуются в системе без файервола, нужно обеспечить повышение сложности в паролям."
,3,Проводится ли аудит и пересмотр учётных записей с повышенными привилегиями на регулярной основе?,Нет,"Нет сведений, нужно проверить, что процесс увольнения сотрудника включает этап деактивации УЗ по всем внутренних системах."
,4,Реализован ли принцип минимальных привилегий при назначении ролей и прав доступа?,Нет,"В PropDevelopment сейчас реализуется ролевой подход (есть роль Менеджер, Бизнес-аналитик, BI-аналитик, однако не функционирует принцип минимальных привилегий, отдельно назначение пользователю роли не имеет практического применения. Необходимо проанализировать, доступ к каким данным и в каком объеме может быть выдан пользователю с соответсвующей ролью."
,5,Автоматически ли удаляются или деактивируются учётные записи после увольнения или изменения должности сотрудников?,Нет,"Нет сведений, но важно проверить."
,6,Ведётся ли журналирование всех операций доступа к системам и данным? Кто имеет доступ к журналам?,Нет,"Нет сведений, однако с учетом того, что внутренние пользователи могут работать с конфиденциальными и даже секретными данными, необходимо внедрить журналирование доступа к таким данным."
,7,Используются ли механизмы контроля доступа на основе атрибутов для повышения гибкости управления доступом?,Нет,
,8,Используются ли системы аутентификации пользователей для доступа к системам?,Да,
,9,"Созданы ли замкнутые контуры для подсистем, работающих с чувствительными данными?",Нет,"Я посчитала важным включить этот вопрос в чек-лист, потому что текущая архитектура сервисов предполагает единый контур, внутри которого существуют потоки обмена разными данными.

Нужно разделить приложения на контуры в завимости от работы с разными типами данных:
- контур, работающий с ПД клиентов/собственников
- финансовый контур (конфиденциальные финансовые данные)
- контур BI-аналитик (здесь должны быть обезличенные данные клиентов, объектов недвижимости и сделок с ними, должен быть реализован принцип предоставления в контур минимальных данных, для обеспечения задач аналитики)
- контур работы с секретными данными (KSM система хранения секретов и проч.)
"
,10,Ограничен ли доступ к системам из внешних источников?,Да,"PropDevelopment взаимодействует с внешними поставщиками, ограничивает их доступ, однако отсутствуют централизованные политики взаимодейтсвия с поставщиками:
- поставщики работают с ПД данными клиентов, однако не понятно, как коммуникация с поставщиками запреплена юридически, и как обеспечивается ответственность поставщика за несоблюжение договоренностей
- отсутствует аутентификация и авторизация поставщиков в контуре PropDevelopment, что может приводить к несанкционированному доступу систем поставщиков"
,11,Ведётся ли единый реестр учётных записей?,Нет,"Контексты систем Active Directory для финансистов и Active DIrectory для других пользователей разделены, данные этих сервисов не сводятся в единое хранилище"
,12,Используются ли средства управления учётными записями на базе единого реестра?,Нет,"Контексты систем Active Directory для финансистов и Active DIrectory для других пользователей разделены, данные этих сервисов не сводятся в единое хранилище"
,13,Применяются ли средства для отзыва прав доступа?,Нет,
,14,Используются ли средства централизованного контроля доступа?,Да,"Доступ выдается сервисами регистрации, аутентификации и авторизации сервисами KeyCloak, Active Directory"
,II. Безопасность данных,,,
,1,"Разработана ли политика классификации данных, и актуализируется ли она в соответствии с действующим законодательством?",Нет,"Это первичный и очень важный этап аудита ИБ, который должен быть выполнен до планирования работ по доработке систем PropDevelopment."
,2,"Используется ли шифрование на уровне базы данных, файловой системы и при передаче данных по сети?",Нет,"Поскольку базы данных хранят ПД клиентов/собственников, а сами базы данных могут размещаться на серверах облачного провайдера, требуется проработать решение о шифровании чувствительных данных на уровне прикладного приложения перед сохранением данных в базу данных."
,3,Реализованы ли механизмы управления ключами шифрования?,Нет,"Требуется внедрить систему key Management Service и выделить сервис в отдельный секретный контур, чтобы обеспечить хранение секретов."
